name,description,price_egp,image_url,ram_gb,storage_gb,storage_type,cpu_family,cpu_generation,cpu_model,gpu,screen_size_inch,product_code,link
"EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 5 Pro Processor/32GB RAM/2TB SSD/AMD Radeon Vega Graphics Silver/Black","Product Overview HIGHLIGHTS Fosters the latest operating system that opens a host of content Profound ram assures immense multitasking Sleek unibody chassis and design with a special protective finish to guard against wear and tear Cutting-edge graphics aid through high-end gaming and graphic-intensive tasks Ryzen 5 PRO 2500U processor with 8GB RAM unleashes the potential of your device with brisk performance SPECIFICATIONS RAM Size 32 GB Product Weight 1.86 KG Display Resolution 1920x1080 Weight 1.5 - 1.9 Kg Resolution Full HD OS Version Windows 10 Product Length 25.17 cm Product Width 37.08 cm Number of Cores Quad Core External Graphics Processor Graphics Model Number EliteBook 755 G5 Adobe Flash Compatible yes SD Card Slot yes Internal Memory 2 TB Screen Size 15.6 in Colour Name Silver/Black Display Type IPS Type SSD Operating System Windows Product Height 1.83 cm Operating System Number 10 Pro RAM Type DDR4 Features Personal, Lithium Ion, AMD HDMI Output yes Number of USB Ports 3 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 12,666.67. HP EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 5 Pro Processor/32GB RAM/2TB SSD/AMD Radeon Vega Graphics Silver/Black Soundcore R60i NC, 6-Mics, Real-Time (ANC) Adaptive Noise Cancelling, Hi-Res Sound, Wireless Bluetooth Earbuds, Translation Earbuds, 50H Playtime Black Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",38000,https://f.nooncdn.com/p/v1582640523/N35135797A_1.jpg?width=800,32,2048,SSD,Unknown,Unknown,Unknown,AMD Radeon Vega,15.6,N35135797A,https://www.noon.com/egypt-en/elitebook-755-g5-laptop-with-15-6-inch-display-ryzen-5-pro-processor-32gb-ram-2tb-ssd-amd-radeon-vega-graphics-silver-black/N35135797A/p/
"EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 5 Pro Processor/64GB RAM/512GB SSD/AMD Radeon Vega Graphics Silver/Black","Product Overview HIGHLIGHTS Ryzen 5 PRO processor with 64GB RAM unleashes the potential of your device with brisk performance Fueled by 512GB hard drive that enables you to stash important data without a second thought Discrete graphics offers smoother performance, less screen tearing and better gaming Decked with an integrated optical drive that lets you enjoy and record DVD movies Outfitted with multiple interfaces which facilitate wide audio and video transmission SPECIFICATIONS RAM Size 64 GB Screen Size 15.6 in Colour Name Silver/Black Resolution Full HD OS Version Windows 10 Product Length 14.6 in Product Width 9.91 in Number of Cores Quad Core External Graphics Processor Graphics Model Number EliteBook 755 G5 Adobe Flash Compatible yes Internal Memory 512 GB Display Resolution 1920x1080 Display Type LED Type SSD Operating System Windows Product Height 0.72 in Operating System Number 10 RAM Type DDR4 Features Ergonomic, Personal, Travel, Shock Proof HDMI Output yes Number of USB Ports 2 Product Features View Full Product Features Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 12,333.33. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",37000,https://f.nooncdn.com/p/v1584007815/N35135784A_1.jpg?width=800,64,512,SSD,Unknown,Unknown,Unknown,AMD Radeon Vega,15.6,N35135784A,https://www.noon.com/egypt-en/elitebook-755-g5-laptop-with-15-6-inch-display-ryzen-5-pro-processor-64gb-ram-512gb-ssd-amd-radeon-vega-graphics-silver-black/N35135784A/p/
"EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 7 Pro Processor/16GB RAM/512GB SSD/AMD Radeon Vega 10 Graphics Silver","Product Overview HIGHLIGHTS 15.6inch display delivers bright crisp visuals to enjoy your movies and music videos Decked with an integrated processor ryzen 7Pro-2700U that gives the system uninterrupted and seamless performance Massive 16GB DDR4 SDRAM provides you with all the speed you need Bluetooth 4.2 helps you connect headphones and other things seamlessly Sleek unibody chassis and design with a special protective finish to guard against wear and tear SPECIFICATIONS RAM Size 16 GB Product Weight 1.85 KG Display Resolution 1920x1080 Weight 1.5 - 1.9 Kg Resolution Full HD OS Version Windows 10 Product Length 14.6 in Product Width 9.9 in Number of Cores Quad Core External Graphics Processor Graphics Model Number 4HZ53UT HDMI Output yes Internal Memory 512 GB Screen Size 15.6 in Colour Name Silver Display Type IPS Type SSD Operating System Windows Product Height 0.7 in Operating System Number 10 Pro RAM Type DDR4 Features Personal, Business, Travel, Ergonomic, Lithium Ion Model Name 4HZ53UT Number of USB Ports 3 Beauty & Fragrance Pay 3 monthly payments of EGP 6,666.33. HP EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 7 Pro Processor/16GB RAM/512GB SSD/AMD Radeon Vega 10 Graphics Silver HP Wireless Computer Mouse Rechargeable Slim Silent - Multicolour Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",19999,https://f.nooncdn.com/p/v1583304727/N35317623A_1.jpg?width=800,16,512,SSD,Unknown,Unknown,Unknown,AMD Radeon Vega 10,15.6,N35317623A,https://www.noon.com/egypt-en/elitebook-755-g5-laptop-with-15-6-inch-display-ryzen-7-pro-processor-16gb-ram-512gb-ssd-amd-radeon-vega-10-graphics-silver/N35317623A/p/
"EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 7 Processor/8GB RAM/256GB SSD/AMD Radeon Vega Graphics Black/Silver","Product Overview This 15.6"" EliteBook 755 G5 Laptop from HP is designed for on-the-go professionals who need a secure and reliable system. Specs-wise, it's powered by a 2.2 GHz AMD Ryzen 7 2700U quad-core processor, 8GB of DDR4 RAM, and a 256GB PCIe NVMe SSD. If you need more space, you can connect additional storage solutions using its multiple USB ports. Its 15.6"" display, driven by integrated AMD Radeon Vega graphics, features a 1920 x 1080 resolution for crisp and clear content reproduction. Other integrated features include an HDMI port, 802.11ac Wi-Fi, Bluetooth 4.2, a webcam, microphones, speakers, and a 3.5mm combo audio jack. The operating system installed is Windows 10 Pro. HIGHLIGHTS Cutting-edge graphics aid through high-end gaming and graphic-intensive tasks Powerful with 65 W enough for your busiest days Fosters the latest operating system that opens a host of content Decked with an integrated processor ryzen 7 2700U that gives the system uninterrupted and seamless performance Sleek unibody chassis and design with 16:09 aspect ratio display SPECIFICATIONS CPU Speed 2.2 GHz Internal Memory 256 GB Screen Size 15.6 in Colour Name Black/Silver Display Type IPS Type SSD Operating System Windows Product Height 0.72 in Operating System Number 10 RAM Type DDR4 External Graphics Processor Graphics Model Number 4HZ54UT Adobe Flash Compatible yes SD Card Slot No RAM Size 8 GB Product Weight 1.79 KG Display Resolution 1920x1080 Weight 1.5 - 1.9 Kg Resolution Full HD OS Version Windows 10 Product Length 14.6 in Product Width 9.91 in Number of Cores Quad Core Processor Version Number/Generation 8th Gen Features AMD, Ergonomic, Personal, Shock Proof, Travel HDMI Output yes Number of USB Ports 3 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 5,666.33. HP EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 7 Processor/8GB RAM/256GB SSD/AMD Radeon Vega Graphics Black/Silver Wireless earbuds with a sleek transparent design and a smart display – an amazing audio experience and long-lasting battery – powerful performance and high-quality sound Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",16999,https://f.nooncdn.com/p/v1582885786/N35178796A_1.jpg?width=800,8,256,NVMe SSD,Ryzen 7,2700,2700U,AMD Radeon Vega,15.6,N35178796A,https://www.noon.com/egypt-en/elitebook-755-g5-laptop-with-15-6-inch-display-ryzen-7-processor-8gb-ram-256gb-ssd-amd-radeon-vega-graphics-black-silver/N35178796A/p/
"EliteBook 830 G5 Laptop With 13.3-Inch Display,Core i5 Processor/8GB RAM/256GB SSD/Intel HD Graphics 620 With English keyboard Silver","Product Overview HIGHLIGHTS Cutting-edge graphics aid through high-end gaming and graphic-intensive tasks Powerful enough for your busiest days Fosters the latest operating system that opens a host of content Decked with Intel Core i5-7300U processor that gives the system uninterrupted and seamless performance Sleek unibody chassis and design with a special protective finish to guard against wear and tear SPECIFICATIONS RAM Size 8 GB Product Weight 1.33 KG Display Resolution 1920x1080 Colour Name Silver Display Type LED Type SSD Operating System Windows Product Height 1.8 cm Operating System Number 10 RAM Type DDR4 External Graphics Processor Graphics Model Number 3RB39UT#ABA HDMI Output yes Internal Memory 256 GB Screen Size 13.3 in Features Touchscreen Weight 1 - 1.4 Kg Resolution Full HD OS Version Windows 10 Product Length 31 cm Product Width 22.9 cm Number of Cores Dual Core Processor Version Number/Generation 7th Gen Features Ergonomic, Business, Travel Model Name EliteBook 830 G5 Number of USB Ports 3 Product Features View Full Product Features Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 5,616.67. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",16850,https://f.nooncdn.com/p/v1588262323/N36995823A_1.jpg?width=800,8,256,SSD,I5,7300,7300U,Integrated,13.3,N36995823A,https://www.noon.com/egypt-en/elitebook-830-g5-laptop-with-13-3-inch-display-core-i5-processor-8gb-ram-256gb-ssd-intel-hd-graphics-620-with-english-keyboard-silver/N36995823A/p/
"EliteBook 830 G5 Laptop With 13.3-Inch Display, Core i5 Processor/8GB RAM/256GB SSD/Intel UHD Graphics 620 Grey/Black","Product Overview HIGHLIGHTS Massive 8GB DDR4 RAM provides you with all the speed you need Decked with an integrated processor Intel Quad-Core i5-8350U that gives the system uninterrupted and seamless performance High capacity battery powers the device for prolonged hours on a single charge Comes with the latest operating system that opens a host of content 13.3-inch display delivers bright crisp visuals to enjoy your movies and music videos SPECIFICATIONS RAM Size 8 GB Screen Size 13.3 in Colour Name Grey/Black Resolution Full HD OS Version Windows 10 Product Length 18 in Product Width 14 in Number of Cores Quad Core Processor Version Number/Generation 8th Gen Features Ergonomic, Personal, Travel, Shock Proof HDMI Output yes Number of USB Ports 2 Internal Memory 256 GB Display Resolution 1920x1080 Display Type IPS Type SSD Operating System Windows Product Height 4 in Operating System Number 10 Pro RAM Type DDR4 External Graphics Processor Graphics Model Number EliteBook 830 G5 Adobe Flash Compatible yes Product Features View Full Product Features Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 4,600.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",13800,https://f.nooncdn.com/p/v1583303993/N35317896A_1.jpg?width=800,8,256,SSD,I5,8350,8350U,Intel UHD Graphics,13.3,N35317896A,https://www.noon.com/egypt-en/elitebook-830-g5-laptop-with-13-3-inch-display-core-i5-processor-8gb-ram-256gb-ssd-intel-uhd-graphics-620-grey-black/N35317896A/p/
"EliteBook 830 G6 Laptop With 13.3-Inch Display, Core i5 Processor/8GB RAM/256GB SSD/Intel UHD Graphics 620 Silver/Black","Product Overview HIGHLIGHTS 8GB RAM gives you quick access to all files and folder Decked with an integrated processor intel core i5-8265U that gives the system uninterrupted and seamless performance Cutting-edge graphics aid through high-end gaming and graphic-intensive tasks 13.3-inch display delivers bright, crisp visuals to enjoy your movies and music videos Leverage the best of chrome, with a new update packed with exciting features SPECIFICATIONS RAM Size 8 GB Product Weight 1.33 KG Display Resolution 1920x1080 Weight 1 - 1.4 Kg Resolution Full HD OS Version Windows 10 Product Length 31.04 cm Product Width 22.93 cm Number of Cores Quad Core Processor Version Number/Generation 8th Gen Features Personal, Travel, Ergonomic, Intel, SD Card Slot HDMI Output yes Number of USB Ports 3 Internal Memory 256 GB Screen Size 13.3 in Colour Name Silver/Black Display Type IPS Type SSD Operating System Windows Product Height 1.77 cm Operating System Number 10 Pro RAM Type DDR4 External Graphics Processor Graphics Model Number 7KJ95UT Adobe Flash Compatible yes Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 4,500.00. HP EliteBook 830 G6 Laptop With 13.3-Inch Display, Core i5 Processor/8GB RAM/256GB SSD/Intel UHD Graphics 620 Silver/Black Celebrat A36 Foldable Wireless Bluetooth Stereo Hi-Fi Headphones with Built-in Microphone, 3.5mm Jack, Memory Card Support, and Type-C Charging for Smart Devices Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",13500,https://f.nooncdn.com/p/v1582958016/N35189360A_1.jpg?width=800,8,256,SSD,I5,8265,8265U,Intel UHD Graphics,13.3,N35189360A,https://www.noon.com/egypt-en/elitebook-830-g6-laptop-with-13-3-inch-display-core-i5-processor-8gb-ram-256gb-ssd-intel-uhd-graphics-620-silver-black/N35189360A/p/
"EliteBook 830 G6 Laptop With 13.3-Inch Display, Core i7-8665U Processer/32GB RAM/512GB SSD/Intel UHD Graphics English Natural Silver","Product Overview HIGHLIGHTS Keep all your conversations private with the help of an easy-to-activate mute button Ultimate combination of performance and speed to edit photos and videos faster Customise performance, fan speed and noise, and external temperature all to the meet your needs SPECIFICATIONS CPU Speed 1.9 GHz Internal Memory 512 GB Display Resolution 1920x1080 Keyboard Language English Display Type LED Type SSD Operating System Windows RAM Type DDR4 Model Number HP EliteBook 830 HDMI Output Yes SD Card Slot Yes Processor Version 8665U RAM Size 32 GB Screen Size 13.3 in Colour Name Natural Silver GPU Version Intel UHD 600 Resolution Full HD OS Version Windows 10 Number of Cores Quad Core Processor Version Number/Generation 8th gen Model Name HP EliteBook 830 G6 Laptop 13.3"" FHD - Intel Core i7 Number of USB Ports 2 Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 7,233.33. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",21700,https://f.nooncdn.com/p/v1627820131/N49539504A_1.jpg?width=800,32,512,SSD,I7,8665,8665U,Intel Iris XE Graphics,13.3,N49539504A,https://www.noon.com/egypt-en/elitebook-830-g6-laptop-with-13-3-inch-display-core-i7-8665u-processer-32gb-ram-512gb-ssd-intel-uhd-graphics-english-natural-silver/N49539504A/p/
"EliteBook 830 G6 With 13.3-Inch FHD Display, Core i7-8565U Processor/16GB RAM/1TB SSD/Intel UHD Graphics 620 Graphics Card/Windows Silver","Product Overview HIGHLIGHTS Fosters the latest operating system that opens a host of content Profound RAM assures immense multitasking Sleek unibody chassis and design with a special protective finish to guard against wear and tear Cutting-edge graphics aid through high-end gaming and graphic-intensive tasks Premium quality material ensures long lasting durability and extensive usage SPECIFICATIONS CPU Speed 1.8 GHz Internal Memory 1 TB Screen Size 13.3 in Features Flat Screen Weight 1.5 - 1.9 Kg Resolution Full HD OS Version Windows 10 Home Usage Business Product Height 17.8 mm Number of Cores Quad Core RAM Type DDR4 External Graphics Graphic Card Features Bluetooth, Lithium Ion Model Name EliteBook Number of USB Ports 3 RAM Size 16 GB Product Weight 1.51 KG Display Resolution 1080x1920 Colour Name Silver Display Type IPS Type SSD Operating System Windows Product Length 310.4 mm Product Width 229.4 mm Wireless Bluetooth Processor Version Number/Generation 8th Gen What's In The Box Laptop + Charger Model Number 830 G6 HDMI Output yes Processor Version i7-8565U Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 7,500.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",22500,https://f.nooncdn.com/p/v1606234454/N41706798A_1.jpg?width=800,16,1024,SSD,I7,8565,8565U,Intel UHD Graphics,13.3,N41706798A,https://www.noon.com/egypt-en/elitebook-830-g6-with-13-3-inch-fhd-display-core-i7-8565u-processor-16gb-ram-1tb-ssd-intel-uhd-graphics-620-graphics-card-windows-silver/N41706798A/p/
"EliteBook 830 G7 13.3"" Full HD Laptop i7-10810U 16GB 512GB SSD W10P English Silver","Product Overview HIGHLIGHTS Keep all your conversations private with the help of an easy-to-activate mute button Ultimate combination of performance and speed to edit photos and videos faster Customise performance, fan speed and noise, and external temperature all to the meet your needs SPECIFICATIONS CPU Speed 4 GHz Internal Memory 512 GB Display Resolution 1920x1080 Keyboard Language English Type SSD Operating System Windows Number of Cores 10-Core Processor Version Number/Generation 11th Gen Graphic Memory 2 GB Model Name 1D0G3UT#ABA Number of USB Ports 2.0 Number of HDMI Ports 1.0 RAM Size 16 GB Screen Size 13.3 in Colour Name Silver Resolution Full HD OS Version Windows 10 Pro Usage Business RAM Type DDR4 External Graphics Graphic Card Model Number 1D0G3UT#ABA HDMI Output Yes SD Card Slot Yes Processor Version Core i7-10810U Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 10,316.67. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",30950,https://f.nooncdn.com/p/pnsku/N70041243V/45/_/1706598939/c7aebdfd-6cfa-43c2-9cae-a7e8bdf81ab8.jpg?width=800,16,512,SSD,I7,10810,10810U,Intel Iris XE Graphics,13.3,N70041243V,https://www.noon.com/egypt-en/elitebook-830-g7-13-3-full-hd-laptop-i7-10810u-16gb-512gb-ssd-w10p-english-silver/N70041243V/p/
"EliteBook 830 G7 13.3"" (Upgraded Version) Laptop - Core i5 1.6GHz CPU, 8GB RAM, 256GB SSD, Windows 10 Pro English Silver","Product Overview HIGHLIGHTS Upgraded the laptop to enhance the performance, It has been tested and inspected after upgrading the specifications 1 Year Seller Warranty Keep all your conversations private with the help of an easy-to-activate mute button Ultimate combination of performance and speed to edit photos and videos faster Customise performance, fan speed and noise, and external temperature all to the meet your needs SPECIFICATIONS CPU Speed 1.6 GHz Internal Memory 256 GB Display Resolution 1920x1080 Keyboard Language English Type SSD Operating System Windows Model Series HP Elite RAM Type DDR4 External Graphics Integrated Model Number 113X7ET#ABU HDMI Output Yes SD Card Slot Yes Processor Version Core i5-10210U RAM Size 8 GB Screen Size 13.3 in Colour Name Silver Resolution Full HD OS Version Windows 10 Pro Usage Personal Number of Cores Quad Core Processor Version Number/Generation 12th Gen Graphic Memory 2 GB Model Name 113X7ET#ABU Number of USB Ports 2.0 Number of HDMI Ports 1.0 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 8,600.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",25800,https://f.nooncdn.com/p/pnsku/N70041292V/45/_/1706598959/e7812852-132a-40bd-9d86-ed554cc9165a.jpg?width=800,8,256,SSD,I5,10210,10210U,Integrated,13.3,N70041292V,https://www.noon.com/egypt-en/elitebook-830-g7-13-3-upgraded-version-laptop-core-i5-1-6ghz-cpu-8gb-ram-256gb-ssd-windows-10-pro-english-silver/N70041292V/p/
"EliteBook 830 G7 Laptop With 13.3-Inch Display,Core i7-10610U Processor/32GB RAM/1TB SSD/Intel's Iris Xe Graphics English/Arabic Silver","Product Overview HIGHLIGHTS Travels easily wherever you go, features an ultra slim chassis at just 14.9mm and starts at 3.1lbs / 1.4kg Take advantage of smarter technology and set reminders, go shopping & more with voice-controlled Alexa Enjoy your laptop on-the-go with up to 14 hours battery life & easily charge with Rapid Charge Pro SPECIFICATIONS CPU Speed 4.9 GHz Internal Memory 1 TB Display Resolution 1920x1080 Colour Name Silver Display Type LED Type SSD Operating System Windows RAM Type DDR4 External Graphics Integrated What's In The Box LAPTOP +ADAPTER+Power cable Model Number 840G7#AR HDMI Output yes SD Card Slot Yes Processor Version Core i7-10610U RAM Size 32 GB Screen Size 13.3 in Features Touchscreen Keyboard Language English/Arabic Resolution Full HD OS Version Windows 11 Number of Cores Quad Core Processor Version Number/Generation 10th Gen Graphic Memory 0 GB Features Double Speaker, Ergonomic, Built In Speaker Model Name EliteBook Number of USB Ports 4 Number of HDMI Ports 1 Beauty & Fragrance Pay 3 monthly payments of EGP 11,543.33. HP EliteBook 830 G7 Laptop With 13.3-Inch Display,Core i7-10610U Processor/32GB RAM/1TB SSD/Intel's Iris Xe Graphics English/Arabic Silver HP Smart Buy ELITEBOOK 830 G7 I5-10310U 13.3IN 8GB 256GB English Silver Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",34630,https://f.nooncdn.com/p/v1658122506/N53336118A_1.jpg?width=800,32,1024,SSD,I7,10610,10610U,Integrated,13.3,N53336118A,https://www.noon.com/egypt-en/elitebook-830-g7-laptop-with-13-3-inch-display-core-i7-10610u-processor-32gb-ram-1tb-ssd-intel-s-iris-xe-graphics-english-arabic-silver/N53336118A/p/
"EliteBook 830 G7 Laptop With 13.3-Inch Display,Core i7-10610U Processor/32GB RAM/1TB SSD/Intel's Iris Xe Graphics English Silver","Product Overview HIGHLIGHTS Travels easily wherever you go, features an ultra slim chassis at just 14.9mm and starts at 3.1lbs / 1.4kg Take advantage of smarter technology and set reminders, go shopping & more with voice-controlled Alexa Enjoy your laptop on-the-go with up to 14 hours battery life & easily charge with Rapid Charge Pro SPECIFICATIONS CPU Speed 4.9 GHz Internal Memory 1 TB Display Resolution 1920x1080 Colour Name Silver Display Type LED Type SSD Operating System Windows RAM Type DDR4 External Graphics Integrated What's In The Box LAPTOP +ADAPTER+Power cable Model Number 840G7#EN HDMI Output yes SD Card Slot Yes Processor Version Core i7-10610U RAM Size 32 GB Screen Size 13.3 in Features Touchscreen Keyboard Language English Resolution Full HD OS Version Windows 11 Number of Cores Quad Core Processor Version Number/Generation 10th Gen Graphic Memory 0 GB Features Double Speaker, Ergonomic, Built In Speaker Model Name EliteBook Number of USB Ports 4 Number of HDMI Ports 1 Beauty & Fragrance Pay 3 monthly payments of EGP 12,579.67. HP EliteBook 830 G7 Laptop With 13.3-Inch Display,Core i7-10610U Processor/32GB RAM/1TB SSD/Intel's Iris Xe Graphics English Silver HP Smart Buy ELITEBOOK 830 G7 I5-10310U 13.3IN 8GB 256GB English Silver Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",37739,https://f.nooncdn.com/p/v1658122506/N53336117A_1.jpg?width=800,32,1024,SSD,I7,10610,10610U,Integrated,13.3,N53336117A,https://www.noon.com/egypt-en/elitebook-830-g7-laptop-with-13-3-inch-display-core-i7-10610u-processor-32gb-ram-1tb-ssd-intel-s-iris-xe-graphics-english-silver/N53336117A/p/
"EliteBook 830 G7 Laptop With 13.3-Inch Display, Core i7-10810U Processor/16GB RAM/512GB SSD/Intel UHD Graphics 620/Windows 01 Pro English Silver","Product Overview SBUY EB830G7 i7-10810U 13 16GB/512 LTEA PC Intel i7-10810U, 13.3 FHD AG LED UWVA, UMA, Webcam, 16GB DDR4, 512GB SSD, ax+BT, LTEA-P, 3C Batt, FPS, W10 Pro64, 3yr Wrty U.S. - English localization HIGHLIGHTS Keep all your conversations private with the help of an easy-to-activate mute button Ultimate combination of performance and speed to edit photos and videos faster Customise performance, fan speed and noise, and external temperature all to the meet your needs SPECIFICATIONS CPU Speed 1.1 GHz Internal Memory 512 GB Display Resolution 1920x1080 Keyboard Language English Type SSD Operating System Windows RAM Type DDR4 External Graphics Integrated Model Number 1D0G3UT#ABA HDMI Output Yes SD Card Slot YES Processor Version Core i7-10810U RAM Size 16 GB Screen Size 13.3 in Colour Name Silver Resolution Full HD OS Version Windows 10 Pro Number of Cores Quad Core Processor Version Number/Generation 10th Gen Graphic Memory 2 GB Model Name EliteBook 830 G7 Number of USB Ports 3.0 Number of HDMI Ports 1.0 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 9,216.67. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",27650,https://f.nooncdn.com/p/pnsku/N70039252V/45/_/1705930654/347ea2fa-d7c2-400c-b613-3b26bab1f398.jpg?width=800,16,512,SSD,I7,10810,10810U,Intel UHD Graphics,13.3,N70039252V,https://www.noon.com/egypt-en/elitebook-830-g7-laptop-with-13-3-inch-display-core-i7-10810u-processor-16gb-ram-512gb-ssd-intel-uhd-graphics-620-windows-01-pro-english-silver/N70039252V/p/
"EliteBook 830 G7 Laptop With 13.3-Inch Display, Core i7 Processer/16GB RAM/512GB SSD/Intel UHD Graphics Silver","Product Overview HIGHLIGHTS Large storage option allows you to store all your files and media easily Sleek and stylish design makes this eye-catching SPECIFICATIONS CPU Speed 1.8 GHz Internal Memory 512 GB Display Resolution 1920x1080 Display Type IPS Type SSD Operating System Windows RAM Type DDR4 External Graphics Integrated Features Intel Model Name EliteBook 830G7 Number of USB Ports 4 Number of HDMI Ports 1 RAM Size 16 GB Screen Size 13.3 in Colour Name Silver Resolution Full HD OS Version Windows 10 Pro Number of Cores Quad Core Processor Version Number/Generation 10th Gen Graphic Memory 0 GB Model Number 177D3EA#ABV HDMI Output yes SD Card Slot no Processor Version 10510U Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 8,300.00. HP EliteBook 830 G7 Laptop With 13.3-Inch Display, Core i7 Processer/16GB RAM/512GB SSD/Intel UHD Graphics Silver HP Wireless Computer Mouse Rechargeable Slim Silent - Multicolour Xiaomi Buds 3T Pro | 3+1 Active Noise Cancelling Modes | Dual-Device Connectivity | Supports Wireless Charging | 24h Long Battery Life With Charging Case White Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",24900,https://f.nooncdn.com/p/v1604922158/N41994688A_1.jpg?width=800,16,512,SSD,Unknown,Unknown,Unknown,Intel UHD Graphics,13.3,N41994688A,https://www.noon.com/egypt-en/elitebook-830-g7-laptop-with-13-3-inch-display-core-i7-processer-16gb-ram-512gb-ssd-intel-uhd-graphics-silver/N41994688A/p/
